Iteration,Distance
0.000000,20.479610
1.000000,20.479610
2.000000,20.479610
3.000000,20.479610
4.000000,20.479610
5.000000,20.479610
6.000000,20.479610
7.000000,20.479610
8.000000,20.479610
9.000000,20.479610
10.000000,20.479610
11.000000,20.479610
12.000000,20.479610
13.000000,17.249766
14.000000,16.672313
15.000000,16.672313
16.000000,17.677758
17.000000,16.672313
18.000000,16.672313
19.000000,16.672313
20.000000,16.672313
21.000000,17.677758
22.000000,17.677758
23.000000,12.168199
24.000000,12.168199
25.000000,17.677758
26.000000,17.677758
27.000000,12.168199
28.000000,17.677758
29.000000,17.677758
30.000000,16.672313
31.000000,16.672313
32.000000,15.501430
33.000000,15.501430
34.000000,15.501430
35.000000,16.672313
36.000000,16.672313
37.000000,16.672313
38.000000,17.677758
39.000000,20.828221
40.000000,20.828221
41.000000,18.367524
42.000000,18.367524
43.000000,12.168199
44.000000,13.339301
45.000000,13.339301
46.000000,18.087100
47.000000,18.087100
48.000000,18.087100
49.000000,18.087100
50.000000,17.430748
51.000000,17.430748
52.000000,17.430748
53.000000,17.430748
54.000000,17.430748
55.000000,12.168199
56.000000,13.339301
57.000000,13.339301
58.000000,13.339301
59.000000,12.168199
60.000000,12.168199
61.000000,12.168199
62.000000,12.168199
63.000000,12.168199
64.000000,17.677758
65.000000,17.677758
66.000000,16.672313
67.000000,16.672313
68.000000,16.672313
69.000000,15.501430
70.000000,15.501430
71.000000,16.080203
72.000000,16.080203
73.000000,15.794251
74.000000,18.769479
75.000000,18.769479
76.000000,18.769479
77.000000,18.769479
78.000000,18.769479
79.000000,18.769479
80.000000,18.769479
81.000000,18.769479
82.000000,17.430748
83.000000,12.168199
84.000000,18.367524
85.000000,18.367524
86.000000,18.367524
87.000000,18.367524
88.000000,20.194977
89.000000,20.194977
90.000000,13.339301
91.000000,12.168199
92.000000,12.168199
93.000000,12.168199
94.000000,18.367524
95.000000,18.367524
96.000000,18.367524
97.000000,18.367524
98.000000,18.367524
99.000000,18.367524
100.000000,18.367524
101.000000,18.367524
102.000000,18.367524
103.000000,18.367524
104.000000,18.367524
105.000000,20.194977
106.000000,20.194977
107.000000,18.367524
108.000000,18.367524
109.000000,18.367524
110.000000,12.168199
111.000000,12.168199
112.000000,12.168199
113.000000,15.794251
114.000000,16.735454
115.000000,16.735454
116.000000,15.794251
117.000000,15.794251
118.000000,15.794251
119.000000,15.794251
120.000000,15.794251
121.000000,16.735454
122.000000,16.735454
123.000000,17.249503
124.000000,18.769479
125.000000,18.769479
126.000000,18.769479
127.000000,18.769479
128.000000,18.769479
129.000000,18.769479
130.000000,18.769479
131.000000,18.769479
132.000000,18.769479
133.000000,18.769479
134.000000,18.769479
135.000000,17.430748
136.000000,17.430748
137.000000,20.479610
138.000000,17.677758
139.000000,17.677758
140.000000,16.672313
141.000000,16.672313
142.000000,15.501430
143.000000,15.501430
144.000000,15.501430
145.000000,15.501430
146.000000,15.501430
147.000000,15.501430
148.000000,16.080203
149.000000,15.501430
150.000000,16.080203
151.000000,16.080203
152.000000,16.080203
153.000000,16.080203
154.000000,16.080203
155.000000,16.080203
156.000000,16.080203
157.000000,16.080203
158.000000,16.080203
159.000000,16.080203
160.000000,15.501430
161.000000,15.501430
162.000000,15.501430
163.000000,17.607768
164.000000,17.607768
165.000000,17.837667
166.000000,17.249503
167.000000,17.249503
168.000000,16.735454
169.000000,16.735454
170.000000,16.735454
171.000000,16.735454
172.000000,16.735454
173.000000,16.735454
174.000000,17.249503
175.000000,17.249503
176.000000,17.249503
177.000000,17.249503
178.000000,17.249503
179.000000,17.249503
180.000000,17.249503
181.000000,17.837667
182.000000,18.018431
183.000000,18.018431
184.000000,18.018431
185.000000,18.018431
186.000000,18.018431
187.000000,18.018431
188.000000,18.018431
189.000000,18.018431
190.000000,16.917538
191.000000,16.917538
192.000000,17.432069
193.000000,17.432069
194.000000,17.432069
195.000000,16.080203
196.000000,15.501430
197.000000,15.501430
198.000000,15.501430
199.000000,15.501430
200.000000,16.080203
201.000000,15.794251
202.000000,18.018649
203.000000,18.018431
204.000000,18.018431
205.000000,18.018431
206.000000,18.018431
207.000000,18.018431
208.000000,18.018431
209.000000,18.018431
210.000000,18.018431
211.000000,18.018431
212.000000,16.917538
213.000000,16.917538
214.000000,16.917538
215.000000,18.018431
216.000000,19.127263
217.000000,19.127263
218.000000,19.127263
219.000000,16.917538
220.000000,16.917538
221.000000,16.917538
222.000000,18.018431
223.000000,17.837667
224.000000,17.249503
225.000000,17.249503
226.000000,17.249503
227.000000,17.249503
228.000000,16.592933
229.000000,17.249766
230.000000,17.249766
231.000000,17.249766
232.000000,17.249766
233.000000,17.249766
234.000000,17.249766
235.000000,16.672313
236.000000,22.585685
237.000000,22.585685
238.000000,22.585685
239.000000,22.585685
240.000000,18.018649
241.000000,18.018649
242.000000,19.642013
243.000000,19.642013
244.000000,19.642013
245.000000,18.018649
246.000000,15.794251
247.000000,18.018649
248.000000,18.018649
249.000000,19.642013
250.000000,19.642013
251.000000,19.642013
252.000000,19.642013
253.000000,19.642013
254.000000,19.642013
255.000000,19.642013
256.000000,19.642013
257.000000,18.018649
258.000000,18.018649
259.000000,18.018649
260.000000,18.018649
261.000000,22.585685
262.000000,18.699489
263.000000,18.699489
264.000000,22.585685
265.000000,22.585685
266.000000,22.585685
267.000000,22.585685
268.000000,21.056581
269.000000,21.056581
270.000000,21.056581
271.000000,21.056581
272.000000,17.249766
273.000000,17.249766
274.000000,17.249766
275.000000,17.249766
276.000000,17.249766
277.000000,17.249766
278.000000,17.249766
279.000000,17.249766
280.000000,17.249766
281.000000,17.249766
282.000000,17.249766
283.000000,20.479610
284.000000,20.479610
285.000000,20.479610
286.000000,17.430748
287.000000,17.430748
288.000000,17.430748
289.000000,17.430748
290.000000,17.430748
291.000000,18.769479
292.000000,18.769479
293.000000,17.430748
294.000000,17.430748
295.000000,18.087100
296.000000,17.430748
297.000000,17.430748
298.000000,17.430748
299.000000,17.430748
300.000000,18.769479
301.000000,18.769479
302.000000,18.769479
303.000000,17.430748
304.000000,17.430748
305.000000,18.087100
306.000000,18.087100
307.000000,18.087100
308.000000,18.087100
309.000000,20.194977
310.000000,20.194977
311.000000,20.194977
312.000000,18.367524
313.000000,12.168199
314.000000,12.168199
315.000000,18.367524
316.000000,18.367524
317.000000,18.367524
318.000000,18.367524
319.000000,18.367524
320.000000,18.367524
321.000000,18.367524
322.000000,18.367524
323.000000,18.367524
324.000000,18.367524
325.000000,20.828221
326.000000,16.080203
327.000000,18.769479
328.000000,17.430748
329.000000,17.430748
330.000000,18.087100
331.000000,18.087100
332.000000,21.056581
333.000000,18.087100
334.000000,18.087100
335.000000,18.087100
336.000000,18.087100
337.000000,18.087100
338.000000,18.087100
339.000000,18.087100
